sku,productSubcategory,productName
FP1023,Potatoes,Potato Russet 5Lb Ea,Ea,#VALUE!
FP1022,Potatoes,Potato Russet Per/Lb,Lb,#VALUE!
FP1021,Potatoes,Potato White Big Per Lb,Lb,#VALUE!
FP1179,Potatoes,Potato White Small Per Lb,Lb,#VALUE!
FP1187,Reg Veg,Carrot Shredded Baby Ea,Ea,#VALUE!
FP1180,Regular Veggies,Arbi/Taro Big Per Lb,Lb,#VALUE!
FP1026,Regular Veggies,Arbi/Taro Small Per Lb,Lb,#VALUE!
FP1587,Regular veggies,Artichoke Each,Ea,#VALUE!
FP1057,Regular Veggies,Avocado Ea,Ea,#VALUE!
FP1060,Regular Veggies,Banana Plantain Per Lb,Lb,#VALUE!
FP1059,Regular Veggies,Bean Fava S Per Lb,Lb,#VALUE!
FP1058,Regular Veggies,Bean Garbanzo S Per Lb,Lb,#VALUE!
FP1485,Regular Veggies,Beans Green French /Lb,Lb,#VALUE!
FP1038,Regular Veggies,Bean Green Per Lb,Lb,#VALUE!
FP1041,Regular Veggies,Bean Guvar Per Lb,Lb,#VALUE!
FP1039,Regular Veggies,Bean Long (Dark Green) Per Lb,Lb,#VALUE!
FP1488,Regular Veggies,Bean Long S(Light Green) Per Lb,Lb,#VALUE!
FP1049,Regular Veggies,Bean Valor Flat S Per Lb,Lb,#VALUE!
FP1055,Regular Veggies,Beetroot Per Lb,Lb,#VALUE!
FP1482,Regular Veggies,Bok Choy Big Per Lb,Lb,#VALUE!
FP1165,Regular Veggies,Bok Choy Small Per Lb,Lb,#VALUE!
FP1479,Regular Veggies,Broccoflower Ea,Ea,#VALUE!
FP1056,Regular Veggies,Broccoli Per Lb,Lb,#VALUE!
FP1247,Regular Veggies,Brussel Sprouts Per Lb,Lb,#VALUE!
FP1532,Regular Veggies,Brussel Sprouts Stalk Ea,Ea,#VALUE!
FP1036,Regular Veggies,Cabbage Per/Lb,Lb,#VALUE!
FP1064,Regular Veggies,Cabbage Red Per Lb,Lb,#VALUE!
FP1594,Regular veggies,Cabbage Taiwan Per Lb,Lb,#VALUE!
FP1203,Regular Veggies,Cantola Per Lb,Lb,#VALUE!
FP1034,Regular Veggies,Carrot Baby Pack Ea,Ea,#VALUE!
FP1264,Regular Veggies,Carrot Bag 2Lb,Lb,#VALUE!
FP1258,Regular Veggies,Carrot Indian Per Lb,Lb,#VALUE!
FP1035,Regular Veggies,Carrot Jumbo Per/Lb,Lb,#VALUE!
FP1477,Regular Veggies,Carrot Kern Ridge Shredded Per Pack,,#VALUE!
FP1433,Regular Veggies,Carrot Per Lb,Lb,#VALUE!
FP1171,Regular Veggies,Carrot Purple Per Lb,Lb,#VALUE!
FP1037,Regular Veggies,Cauliflower Ea,Ea,#VALUE!
FP1063,Regular Veggies,Chayote,Lb,#VALUE!
FP1197,Regular Veggies,Chinese Bittermelon Per Lb,Lb,#VALUE!
FP1166,Regular Veggies,Corn White Ea,Ea,#VALUE!
FP1061,Regular Veggies,Corn Yellow Ea,Ea,#VALUE!
FP1658,Regular veggies,Desi papdi per lb,Lb,#VALUE!
FP1050,Regular Veggies,Dosakai Per Lb,Lb,#VALUE!
FP1044,Regular Veggies,Drumsticks Per/Lb,Lb,#VALUE!
FP1519,Regular Veggies,Fresh Jicama Per Lb,Lb,#VALUE!
FP1585,Regular veggies,Galanga Root Per Lb ,Lb,#VALUE!
FP1303,Regular Veggies,Indian Petha Lb,Lb,#VALUE!
FP1257,Regular Veggies,Jaggery per lb,,#VALUE!
FP1172,Regular Veggies,Kabocha Per Lb,Lb,#VALUE!
FP1032,Regular Veggies,Karela Per Lb,Lb,#VALUE!
FP1191,Regular Veggies,Kohlrabi Per Lb,Lb,#VALUE!
FP1028,Regular Veggies,Lemon Ea,Ea,#VALUE!
FP1040,Regular Veggies,Lettuce Ea,Ea,#VALUE!
FP1027,Regular Veggies,Lime Ea,Ea,#VALUE!
FP1586,Regular veggies,Lotus Root Per Lb ,Lb,#VALUE!
FP1542,Regular Veggies,Mango Green Baby Per Lb,Lb,#VALUE!
FP1025,Regular Veggies,Mango Green Lb,Lb,#VALUE!
FP1593,Fruits,Mango Steen Bag Each ,Ea,#VALUE!
FP1462,Regular Veggies,Mashroom White,,#VALUE!
FP1589,Regular veggies,Mitake Mushroom Each,Ea,#VALUE!
FP1054,Regular Veggies,Mooli/Daikon Per Lb,Lb,#VALUE!
FP1403,Regular Veggies,Moongra Per Lb,Lb,#VALUE!
FP1043,Regular Veggies,Mushroom Box,Ea,#VALUE!
FP1404,Regular Veggies,Mushroom Loose Per Lb,Lb,#VALUE!
FP1228,Regular Veggies,Napa Leaf Per Per Lb,Lb,#VALUE!
FP1029,Regular Veggies,Okra India Per Lb,Lb,#VALUE!
FP1240,Regular Veggies,Opo Indian,Lb,#VALUE!
FP1045,Regular Veggies,Opo Long Per Lb,Lb,#VALUE!
FP1046,Regular Veggies,Opo Round Per Lb,Lb,#VALUE!
FP1591,Regular veggies,Parsnip Per Lb ,Lb,#VALUE!
FP1042,Regular Veggies,Parval Per Lb,Lb,#VALUE!
FP1177,Regular Veggies,Peanut Roasted Per Lb,Lb,#VALUE!
FP1374,Regular Veggies,Peanuts Raw Per Lb,Lb,#VALUE!
FP1189,Regular Veggies,Peas English Per Lb,Lb,#VALUE!
FP1267,Regular Veggies,Peas Snow Lb,Lb,#VALUE!
FP1272,Regular Veggies,Peas Sugar Snap Per Lb,Lb,#VALUE!
FP1182,Regular Veggies,Potato Sweet Per Lb,Lb,#VALUE!
FP1052,Regular Veggies,Pumpkin White Per Lb,Lb,#VALUE!
FP1051,Regular Veggies,Pumpkin Yellow Per Lb,Lb,#VALUE!
FP1062,Regular Veggies,Radish Red Per Lb,Lb,#VALUE!
FP1031,Regular Veggies,Ram Tori Per Lb,Lb,#VALUE!
FP1251,Regular Veggies,Ratalu Per Lb,Lb,#VALUE!
FP1590,Regular veggies,Shitake Mushroom Per Lb ,Lb,#VALUE!
FP1606,Regular veggies,Singoda Pack Each,Ea,#VALUE!
FP1047,Regular Veggies,Sinqua Per Lb,Lb,#VALUE!
FP1619,Regular veggies,Sitaphal Per Lb ,Lb,#VALUE!
